id,date,counts
9,2016-10-01,0.1756
19,2016-10-02,0.1539
22,2016-10-03,0.161
23,2016-10-04,0.1507
24,2016-10-05,0.1511
25,2016-10-06,0.1402
26,2016-10-07,0.1353
30,2016-10-08,0.1421
27,2016-10-09,0.137
0,2016-10-10,0.1448
28,2016-10-11,0.1338
1,2016-10-12,0.1413
2,2016-10-13,0.1331
3,2016-10-14,0.1317
4,2016-10-15,0.1438
5,2016-10-16,0.145
6,2016-10-17,0.1403
7,2016-10-18,0.1414
8,2016-10-19,0.1287
10,2016-10-20,0.1389
11,2016-10-21,0.1324
12,2016-10-22,0.1365
13,2016-10-23,0.1337
29,2016-10-24,0.131
14,2016-10-25,0.147
15,2016-10-26,0.1423
16,2016-10-27,0.1374
17,2016-10-28,0.1767
18,2016-10-29,0.1569
20,2016-10-30,0.1366
21,2016-10-31,0.1419
40,2016-11-01,0.1374
51,2016-11-02,0.1472
60,2016-11-03,0.1406
53,2016-11-04,0.1356
54,2016-11-05,0.1373
55,2016-11-06,0.1212
56,2016-11-07,0.1846
57,2016-11-08,0.1524
58,2016-11-09,0.1398
31,2016-11-10,0.1407
32,2016-11-11,0.1443
33,2016-11-12,0.1467
34,2016-11-13,0.1349
35,2016-11-14,0.1447
36,2016-11-15,0.1385
37,2016-11-16,0.1369
38,2016-11-17,0.1325
39,2016-11-18,0.1424
59,2016-11-19,0.1342
41,2016-11-20,0.1317
42,2016-11-21,0.1334
43,2016-11-22,0.1353
44,2016-11-23,0.1331
45,2016-11-24,0.1422
46,2016-11-25,0.1337
47,2016-11-26,0.1329
48,2016-11-27,0.1257
49,2016-11-28,0.1218
50,2016-11-29,0.1285
52,2016-11-30,0.1226
70,2016-12-01,0.1265
80,2016-12-02,0.133
83,2016-12-03,0.128
84,2016-12-04,0.1362
85,2016-12-05,0.1331
86,2016-12-06,0.212
87,2016-12-07,0.1748
91,2016-12-08,0.1429
88,2016-12-09,0.1503
61,2016-12-10,0.1412
89,2016-12-11,0.1328
62,2016-12-12,0.1303
63,2016-12-13,0.1203
64,2016-12-14,0.1314
65,2016-12-15,0.3721
66,2016-12-16,0.2219
67,2016-12-17,0.1892
68,2016-12-18,0.183
69,2016-12-19,0.1611
71,2016-12-20,0.1601
72,2016-12-21,0.1473
73,2016-12-22,0.1457
74,2016-12-23,0.1537
90,2016-12-24,0.1551
75,2016-12-25,0.1482
76,2016-12-26,0.1458
77,2016-12-27,0.1537
78,2016-12-28,0.1512
79,2016-12-29,0.6416
81,2016-12-30,0.406
82,2016-12-31,0.2764
101,2017-01-01,0.2812
111,2017-01-02,0.1992
114,2017-01-03,0.1956
115,2017-01-04,0.1927
116,2017-01-05,0.2118
117,2017-01-06,0.1899
118,2017-01-07,0.1666
119,2017-01-08,0.1599
120,2017-01-09,0.1707
92,2017-01-10,0.1664
93,2017-01-11,0.1726
121,2017-01-12,0.1685
94,2017-01-13,0.1663
95,2017-01-14,0.1601
96,2017-01-15,0.1614
97,2017-01-16,0.1519
98,2017-01-17,0.1545
99,2017-01-18,0.1436
100,2017-01-19,0.1462
102,2017-01-20,0.1407
103,2017-01-21,0.1373
104,2017-01-22,0.1388
105,2017-01-23,0.1524
106,2017-01-24,0.1508
122,2017-01-25,0.1376
107,2017-01-26,0.1412
108,2017-01-27,0.1534
109,2017-01-28,0.1489
110,2017-01-29,0.1468
112,2017-01-30,0.1487
113,2017-01-31,0.1341
134,2017-02-01,0.1286
143,2017-02-02,0.1376
144,2017-02-03,0.1361
145,2017-02-04,0.1311
146,2017-02-05,0.1273
147,2017-02-06,0.1391
148,2017-02-07,0.1324
149,2017-02-08,0.1477
150,2017-02-09,0.1406
125,2017-02-10,0.1328
126,2017-02-11,0.1291
127,2017-02-12,0.1382
128,2017-02-13,0.1263
123,2017-02-14,0.1362
129,2017-02-15,0.1498
130,2017-02-16,0.1354
131,2017-02-17,0.1387
132,2017-02-18,0.1353
133,2017-02-19,0.1252
135,2017-02-20,0.1396
136,2017-02-21,0.1247
137,2017-02-22,0.1793
138,2017-02-23,0.1353
139,2017-02-24,0.1364
140,2017-02-25,0.1427
141,2017-02-26,0.1387
142,2017-02-27,0.1313
124,2017-02-28,0.1319
160,2017-03-01,0.1411
170,2017-03-02,0.1236
173,2017-03-03,0.1255
174,2017-03-04,0.1414
175,2017-03-05,0.1385
176,2017-03-06,0.1303
177,2017-03-07,0.2024
178,2017-03-08,0.1586
179,2017-03-09,0.1398
151,2017-03-10,0.1444
152,2017-03-11,0.1491
180,2017-03-12,0.1369
153,2017-03-13,0.15
154,2017-03-14,0.1473
155,2017-03-15,0.1325
156,2017-03-16,0.1182
157,2017-03-17,0.1268
158,2017-03-18,0.1413
159,2017-03-19,0.1441
161,2017-03-20,0.1307
162,2017-03-21,0.1256
163,2017-03-22,0.1357
164,2017-03-23,0.2102
165,2017-03-24,0.1633
181,2017-03-25,0.1658
166,2017-03-26,0.1426
167,2017-03-27,0.1429
168,2017-03-28,0.1322
169,2017-03-29,0.1408
171,2017-03-30,0.1368
172,2017-03-31,0.1159
191,2017-04-01,0.1808
202,2017-04-02,0.1569
211,2017-04-03,0.1447
204,2017-04-04,0.1272
205,2017-04-05,0.1504
206,2017-04-06,0.1332
207,2017-04-07,0.1476
208,2017-04-08,0.141
209,2017-04-09,0.12
182,2017-04-10,0.1406
183,2017-04-11,0.1364
184,2017-04-12,0.1361
185,2017-04-13,0.1335
186,2017-04-14,0.1327
187,2017-04-15,0.1302
188,2017-04-16,0.1346
189,2017-04-17,0.1318
210,2017-04-18,0.1252
190,2017-04-19,0.1236
192,2017-04-20,0.1286
193,2017-04-21,0.1229
194,2017-04-22,0.1394
195,2017-04-23,0.1262
196,2017-04-24,0.1283
197,2017-04-25,0.1315
198,2017-04-26,0.1458
199,2017-04-27,0.1321
200,2017-04-28,0.1232
201,2017-04-29,0.1276
203,2017-04-30,0.1248
221,2017-05-01,0.1754
231,2017-05-02,0.1485
234,2017-05-03,0.1438
235,2017-05-04,0.1452
236,2017-05-05,0.1312
237,2017-05-06,0.1292
238,2017-05-07,0.1376
239,2017-05-08,0.1444
240,2017-05-09,0.1357
212,2017-05-10,0.1292
213,2017-05-11,0.1384
241,2017-05-12,0.1282
214,2017-05-13,0.1221
215,2017-05-14,0.1273
216,2017-05-15,0.1413
217,2017-05-16,0.1324
218,2017-05-17,0.135
219,2017-05-18,0.1796
220,2017-05-19,0.1594
222,2017-05-20,0.1515
223,2017-05-21,0.1343
224,2017-05-22,0.1297
225,2017-05-23,0.1337
226,2017-05-24,0.1323
242,2017-05-25,0.1329
227,2017-05-26,0.1199
228,2017-05-27,0.1361
229,2017-05-28,0.1387
230,2017-05-29,0.1202
232,2017-05-30,0.1352
233,2017-05-31,0.1319
252,2017-06-01,0.1314
263,2017-06-02,0.1389
272,2017-06-03,0.1233
265,2017-06-04,0.1398
266,2017-06-05,0.1354
267,2017-06-06,0.1324
268,2017-06-07,0.1406
269,2017-06-08,0.1334
270,2017-06-09,0.1173
243,2017-06-10,0.1269
244,2017-06-11,0.1288
245,2017-06-12,0.1333
246,2017-06-13,0.1243
247,2017-06-14,0.1227
248,2017-06-15,0.1359
249,2017-06-16,0.1349
250,2017-06-17,0.124
271,2017-06-18,0.1313
251,2017-06-19,0.1216
253,2017-06-20,0.13
254,2017-06-21,0.1161
255,2017-06-22,0.125
256,2017-06-23,0.1426
257,2017-06-24,0.1257
258,2017-06-25,0.2124
259,2017-06-26,0.1675
260,2017-06-27,0.1415
261,2017-06-28,0.2255
262,2017-06-29,0.1847
264,2017-06-30,0.1565
282,2017-07-01,0.1514
292,2017-07-02,0.1385
295,2017-07-03,0.1402
296,2017-07-04,0.1399
297,2017-07-05,0.142
298,2017-07-06,0.1378
299,2017-07-07,0.1418
300,2017-07-08,0.128
301,2017-07-09,0.1294
273,2017-07-10,0.1339
274,2017-07-11,0.1321
302,2017-07-12,0.1292
275,2017-07-13,0.1387
276,2017-07-14,0.1221
277,2017-07-15,0.1217
278,2017-07-16,0.1226
279,2017-07-17,0.1294
280,2017-07-18,0.1929
281,2017-07-19,0.1547
283,2017-07-20,0.1353
284,2017-07-21,0.1367
285,2017-07-22,0.1472
286,2017-07-23,0.1403
287,2017-07-24,0.1356
303,2017-07-25,0.137
288,2017-07-26,0.1334
289,2017-07-27,0.1375
290,2017-07-28,0.1204
291,2017-07-29,0.1231
293,2017-07-30,0.2838
294,2017-07-31,0.1921
313,2017-08-01,0.1685
323,2017-08-02,0.1533
326,2017-08-03,0.1525
327,2017-08-04,0.1489
328,2017-08-05,0.1476
329,2017-08-06,0.1419
330,2017-08-07,0.1495
331,2017-08-08,0.1404
332,2017-08-09,0.1374
304,2017-08-10,0.1269
305,2017-08-11,0.134
333,2017-08-12,0.1452
306,2017-08-13,0.1762
307,2017-08-14,0.1506
308,2017-08-15,0.1483
309,2017-08-16,0.129
310,2017-08-17,0.1496
311,2017-08-18,0.1298
312,2017-08-19,0.1313
314,2017-08-20,0.141
315,2017-08-21,0.1412
316,2017-08-22,0.1299
317,2017-08-23,0.2151
318,2017-08-24,0.154
334,2017-08-25,0.1478
319,2017-08-26,0.1493
320,2017-08-27,0.1325
321,2017-08-28,0.1455
322,2017-08-29,0.1296
324,2017-08-30,0.1476
325,2017-08-31,0.1379
344,2017-09-01,0.127
355,2017-09-02,0.1335
364,2017-09-03,0.1281
357,2017-09-04,0.1337
358,2017-09-05,0.1395
359,2017-09-06,0.1341
360,2017-09-07,0.1258
361,2017-09-08,0.1269
362,2017-09-09,0.1361
335,2017-09-10,0.1215
336,2017-09-11,0.1286
337,2017-09-12,0.1337
338,2017-09-13,0.1294
339,2017-09-14,0.1176
340,2017-09-15,0.1213
341,2017-09-16,0.1243
342,2017-09-17,0.1266
363,2017-09-18,0.1192
343,2017-09-19,0.122
345,2017-09-20,0.1264
346,2017-09-21,0.1211
347,2017-09-22,0.1307
348,2017-09-23,0.1237
349,2017-09-24,0.1278
350,2017-09-25,0.1282
351,2017-09-26,0.1161
352,2017-09-27,0.1132
353,2017-09-28,0.1215
354,2017-09-29,0.1327
356,2017-09-30,0.1229
374,2017-10-01,0.1267
384,2017-10-02,0.1141
387,2017-10-03,0.1387
388,2017-10-04,0.1243
389,2017-10-05,0.121
390,2017-10-06,0.1095
391,2017-10-07,0.122
395,2017-10-08,0.1144
392,2017-10-09,0.1287
365,2017-10-10,0.1208
393,2017-10-11,0.1722
366,2017-10-12,0.1492
367,2017-10-13,0.1425
368,2017-10-14,0.1351
369,2017-10-15,0.1273
370,2017-10-16,0.1369
371,2017-10-17,0.1279
372,2017-10-18,0.1497
373,2017-10-19,0.1208
375,2017-10-20,0.1157
376,2017-10-21,0.1302
377,2017-10-22,0.1288
378,2017-10-23,0.1272
394,2017-10-24,0.1275
379,2017-10-25,0.116
380,2017-10-26,0.129
381,2017-10-27,0.228
382,2017-10-28,0.1493
383,2017-10-29,0.1504
385,2017-10-30,0.1295
386,2017-10-31,0.154
405,2017-11-01,0.1506
415,2017-11-02,0.1326
417,2017-11-03,0.1304
418,2017-11-04,0.1326
419,2017-11-05,0.1217
420,2017-11-06,0.1284
421,2017-11-07,0.1268
422,2017-11-08,0.1361
423,2017-11-09,0.1372
396,2017-11-10,0.1366
397,2017-11-11,0.1169
398,2017-11-12,0.1255
425,2017-11-13,0.1219
399,2017-11-14,0.1983
400,2017-11-15,0.1521
401,2017-11-16,0.1436
402,2017-11-17,0.1412
403,2017-11-18,0.1403
404,2017-11-19,0.1192
406,2017-11-20,0.1334
407,2017-11-21,0.1257
408,2017-11-22,0.1422
409,2017-11-23,0.1271
410,2017-11-24,0.1288
411,2017-11-25,0.1324
426,2017-11-26,0.1302
412,2017-11-27,0.1314
413,2017-11-28,0.1294
414,2017-11-29,0.1388
416,2017-11-30,0.1282
436,2017-12-01,0.1235
446,2017-12-02,0.138
449,2017-12-03,0.1237
450,2017-12-04,0.1131
424,2017-12-05,0.117
451,2017-12-05,0.1278
452,2017-12-06,0.1257
453,2017-12-07,0.1275
457,2017-12-08,0.1679
454,2017-12-09,0.1437
427,2017-12-10,0.1354
455,2017-12-11,0.126
428,2017-12-12,0.1337
429,2017-12-13,0.1404
430,2017-12-14,0.1292
431,2017-12-15,0.1693
432,2017-12-16,0.1591
433,2017-12-17,0.1322
434,2017-12-18,0.1297
435,2017-12-19,0.1316
437,2017-12-20,0.1358
438,2017-12-21,0.136
439,2017-12-22,0.1315
440,2017-12-23,0.1436
456,2017-12-24,0.125
441,2017-12-25,0.127
442,2017-12-26,0.1229
443,2017-12-27,0.1253
444,2017-12-28,0.1295
445,2017-12-29,0.1289
447,2017-12-30,0.1239
448,2017-12-31,0.1425
467,2018-01-01,0.1315
477,2018-01-02,0.1306
480,2018-01-03,0.1213
481,2018-01-04,0.1198
482,2018-01-05,0.1759
483,2018-01-06,0.1562
484,2018-01-07,0.1562
485,2018-01-08,0.2123
486,2018-01-09,0.1643
458,2018-01-10,0.1422
459,2018-01-11,0.1311
460,2018-01-12,0.1353
461,2018-01-13,0.1322
487,2018-01-14,0.1482
462,2018-01-15,0.1363
463,2018-01-16,0.138
464,2018-01-17,0.1221
465,2018-01-18,0.1365
466,2018-01-19,0.1715
468,2018-01-20,0.1575
469,2018-01-21,0.15
470,2018-01-22,0.1412
471,2018-01-23,0.1292
472,2018-01-24,0.1419
473,2018-01-25,0.1323
474,2018-01-26,0.1896
475,2018-01-27,0.1526
488,2018-01-28,0.1327
476,2018-01-29,0.1385
478,2018-01-30,0.1422
479,2018-01-31,0.1312
500,2018-02-01,0.1469
509,2018-02-02,0.1306
510,2018-02-03,0.1309
511,2018-02-04,0.1426
512,2018-02-05,0.142
513,2018-02-06,0.1316
514,2018-02-07,0.1347
515,2018-02-08,0.1358
516,2018-02-09,0.1351
491,2018-02-10,0.1258
492,2018-02-11,0.1283
493,2018-02-12,0.1211
494,2018-02-13,0.1204
489,2018-02-14,0.1318
495,2018-02-15,0.1325
496,2018-02-16,0.131
497,2018-02-17,0.128
498,2018-02-18,0.1282
499,2018-02-19,0.1255
501,2018-02-20,0.1331
502,2018-02-21,0.1318
503,2018-02-22,0.1279
504,2018-02-23,0.1308
505,2018-02-24,0.1239
506,2018-02-25,0.1251
507,2018-02-26,0.1421
508,2018-02-27,0.1226
490,2018-02-28,0.1374
526,2018-03-01,0.1203
536,2018-03-02,0.1365
539,2018-03-03,0.1394
540,2018-03-04,0.1336
541,2018-03-05,0.1236
542,2018-03-06,0.1232
543,2018-03-07,0.1213
544,2018-03-08,0.1192
545,2018-03-09,0.1223
517,2018-03-10,0.1661
518,2018-03-11,0.1465
546,2018-03-12,0.1251
519,2018-03-13,0.1326
520,2018-03-14,0.1283
521,2018-03-15,0.1235
522,2018-03-16,0.1247
523,2018-03-17,0.1301
524,2018-03-18,0.1299
525,2018-03-19,0.1338
527,2018-03-20,0.1315
528,2018-03-21,0.1163
529,2018-03-22,0.128
530,2018-03-23,0.1959
531,2018-03-24,0.2477
547,2018-03-25,0.1772
532,2018-03-26,0.1586
533,2018-03-27,0.1625
534,2018-03-28,0.1429
535,2018-03-29,0.1457
537,2018-03-30,0.1364
538,2018-03-31,0.1511
557,2018-04-01,0.1418
567,2018-04-02,0.1316
569,2018-04-04,0.1347
570,2018-04-05,0.1291
571,2018-04-06,0.4056
572,2018-04-07,0.23
573,2018-04-08,0.1886
574,2018-04-09,0.1809
575,2018-04-10,0.1537
548,2018-04-11,0.1492
549,2018-04-12,0.1507
550,2018-04-13,0.1404
551,2018-04-14,0.1335
552,2018-04-15,0.1341
553,2018-04-16,0.1438
554,2018-04-17,0.1297
555,2018-04-18,0.1353
556,2018-04-19,0.1371
558,2018-04-20,0.1318
559,2018-04-21,0.1361
560,2018-04-22,0.1412
576,2018-04-23,0.1356
561,2018-04-24,0.1322
562,2018-04-25,0.1298
563,2018-04-26,0.1252
564,2018-04-27,0.1344
565,2018-04-28,0.1296
566,2018-04-29,0.1261
568,2018-04-30,0.1237
586,2018-05-01,0.1365
596,2018-05-02,0.1306
599,2018-05-03,0.1283
600,2018-05-04,0.1279
601,2018-05-05,0.1381
602,2018-05-06,0.1193
603,2018-05-07,0.1239
604,2018-05-08,0.3335
605,2018-05-09,0.2011
577,2018-05-10,0.1658
578,2018-05-11,0.2041
606,2018-05-12,0.1593
579,2018-05-13,0.1443
580,2018-05-14,0.1407
581,2018-05-15,0.1421
582,2018-05-16,0.1382
583,2018-05-17,0.1419
584,2018-05-18,0.1344
585,2018-05-19,0.129
587,2018-05-20,0.1153
588,2018-05-21,0.1334
589,2018-05-22,0.143
590,2018-05-23,0.117
591,2018-05-24,0.1266
607,2018-05-25,0.1262
592,2018-05-26,0.1369
593,2018-05-27,0.1423
594,2018-05-28,0.1182
595,2018-05-29,0.1357
597,2018-05-30,0.1326
598,2018-05-31,0.1345
617,2018-06-01,0.1324
628,2018-06-02,0.1189
637,2018-06-03,0.1262
630,2018-06-04,0.1242
631,2018-06-05,0.128
632,2018-06-06,0.1262
633,2018-06-07,0.1128
634,2018-06-08,0.1303
635,2018-06-09,0.1285
608,2018-06-10,0.1213
609,2018-06-11,0.1401
610,2018-06-12,0.1336
611,2018-06-13,0.1379
612,2018-06-14,0.1307
613,2018-06-15,0.1231
614,2018-06-16,0.1145
615,2018-06-17,0.1322
636,2018-06-18,0.1352
616,2018-06-19,0.1284
618,2018-06-20,0.123
619,2018-06-21,0.1235
620,2018-06-22,0.1244
621,2018-06-23,0.114
622,2018-06-24,0.1149
623,2018-06-25,0.1205
624,2018-06-26,0.1255
625,2018-06-27,0.1297
626,2018-06-28,0.1164
627,2018-06-29,0.1336
629,2018-06-30,0.1316
